molecule_chembl_id,IC50,units,smiles,pIC50,ROMol,molecular_weight,n_hba,n_hbd,logp,n_rotatable,n_aromatic_rings
CHEMBL237119,0.012,nM,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,10.920818753952377,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f9fa7a0>,401.19148348000004,3,1,2.5622000000000007,5,2
CHEMBL4113723,0.05,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,10.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f9fba70>,481.169622228,10,1,1.6445999999999998,4,4
CHEMBL237336,0.064,nM,C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,10.193820026016112,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8552a0>,344.17001976399996,2,1,3.493900000000002,4,2
CHEMBL4113723,0.08,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,10.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f854dd0>,481.169622228,10,1,1.6445999999999998,4,4
CHEMBL5269668,0.09,nM,CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,10.045757490560677,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f854f90>,536.2396701360001,10,1,0.9970600000000036,5,2
CHEMBL67279,0.1,nM,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,10.0,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855cb0>,214.14887286799998,4,3,-1.0272999999999988,3,0
CHEMBL186877,0.1,nM,COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8553f0>,460.14328143200004,6,0,5.262200000000005,7,3
CHEMBL237500,0.1,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,10.0,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855000>,472.23352213600003,10,1,1.1474199999999997,4,4
CHEMBL34062,0.1,nM,COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855700>,404.080681176,6,2,4.175500000000001,5,3
CHEMBL4111229,0.1,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3ccccc3s1)c(=O)n2C,10.0,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855ee0>,463.17904404,10,1,1.5054999999999996,4,4
